# 60050 2_reports/tar1_ln9_tr2.report
# Layered model 33287: value=0.169425
9
7.4692205439830940961 378.09237389591123701 179.87096025387054965 2000
5.0216570125327590901 430.30439011400761729 200.67633683953869195 2000
3.6485354123508120239 443.343043438852078 232.97899714807718397 2000
5.8129504292132452292 480.0769874813221918 267.80334944767633942 2000
4.6815150768695836803 494.62380027899376955 289.99265273907644769 2000
2.0135322071992263204 519.85458511187766817 314.0204886013842156 2000
6.8309752243352725998 838.12311872016766756 357.3846079956137487 2000
2.3405033145830955732 925.80934075693903651 462.90467037846951825 2000
0 1477.8356060696526129 532.096981787312302 2000
# Layered model 53824: value=0.180951
9
2.6274292831041994312 325.66966769185813746 179.87096025387054965 2000
4.1126930124645983966 328.92636436877671713 185.32123022052309125 2000
2.5045347061878233674 359.7419205077410993 187.17444252272832728 2000
5.4997167799687414202 389.54895091733129675 219.47675417764958183 2000
5.4130927734823028885 456.77678099809264722 278.67723932668332054 2000
6.0360018928367971114 789.54989054673001192 289.99265273907644769 2000
2.0275222975256106395 992.59292353639978046 298.77972010972325734 2000
7.4061136477428526348 1311.5040636757717039 364.56803861632556618 2000
0 1324.6191043125295437 491.38263541405922297 2000
# Layered model 59246: value=0.182397
9
8.6715331723761828187 322.44521553649320822 183.48636655497335823 2000
4.0704110230256382863 438.95350835529916367 213.02197530396412617 2000
6.3720341033847951451 489.7265349296968111 257.35375500588003206 2000
3.5035636626185144848 509.61139605124753871 267.80334944767633942 2000
1.9783979598435195157 519.85458511187766817 310.91137485285565845 2000
4.9195159519798572489 562.92802343990035752 314.0204886013842156 2000
1.9698102131388601777 666.67815270388200588 330.03868945736735441 2000
3.439843602205250761 838.12311872016766756 379.37096290198320503 2000
0 1392.1879911869286843 537.41795160518540797 2000
# Layered model 57507: value=0.182887
9
8.6715331723761828187 389.54895091733129675 179.87096025387054965 2000
3.3319546447771006825 397.37888483076966395 202.68310020793407489 2000
3.2005692699675094559 456.77678099809264722 223.88823693662030223 2000
5.2713085977604183796 465.95799429615436793 281.46401171995017876 2000
6.1585127900682827828 484.87775735613541883 295.82150505913193683 2000
6.2955813802084641395 591.64301011826387366 304.78519248392871077 2000
2.5489260513260347807 743.79171238502738106 357.3846079956137487 2000
3.8761018707041969833 789.54989054673001192 476.93114479560750851 2000
0 1406.1098710987980667 576.18478477285361805 2000
# Layered model 55146: value=0.182891
9
4.4966099810950854732 332.21562801246449226 181.66966985640925714 2000
4.9569304346381386495 421.82569367121607229 183.48636655497335823 2000
3.7734262373914884137 504.56573866460144018 215.15219505700380864 2000
6.4494573161440698073 609.57038496785742154 249.78501914089181923 2000
3.2646532677718269611 621.82274970571131689 259.92729255593883408 2000
9.3395421680745300819 640.66460084454411117 310.91137485285565845 2000
5.3804021454161485849 743.79171238502738106 330.03868945736735441 2000
2.0870111044287824598 1002.5188527717638181 449.29071249903614671 2000
0 1022.6694817124763404 559.23927548634185314 2000
# Layered model 47885: value=0.183024
9
2.3785774543725684005 319.25268864999327434 179.87096025387054965 2000
5.0667107612900839086 338.89316213551506962 183.48636655497335823 2000
2.8686829769750987751 359.7419205077410993 194.77447545866564838 2000
4.4304025890876115312 374.34888504545665455 219.47675417764958183 2000
2.1076172686557708147 456.77678099809264722 278.67723932668332054 2000
13.256725485899266914 838.12311872016766756 298.77972010972325734 2000
2.6549776091104853037 953.86228959121501703 314.0204886013842156 2000
2.5106666400674555462 1260.3296269017564555 326.77097966075973545 2000
0 1364.7563877923034852 501.25942638588190903 2000
# Layered model 57555: value=0.183034
